,AR ID,Date,AR-MJO Overlap?,datetime,RMM Index,RMM Amplitude
4964,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00205.2000.nc,2013-01-06T22:00:00,False,2013-01-06 22:00:00,4.0,2.271008
4965,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00206.0600.nc,2013-01-07T06:00:00,True,2013-01-07 06:00:00,5.0,2.177562
4966,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00206.0800.nc,2013-01-12T01:00:00,True,2013-01-12 01:00:00,6.0,2.5086246
4967,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00206.1200.nc,2013-01-12T01:00:00,True,2013-01-12 01:00:00,6.0,2.5086246
4968,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00207.1000.nc,2013-01-07T19:00:00,False,2013-01-07 19:00:00,5.0,2.177562
4969,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00208.1000.nc,2013-01-08T09:00:00,False,2013-01-08 09:00:00,5.0,2.1337183
4970,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00209.1000.nc,2013-01-13T09:00:00,False,2013-01-13 09:00:00,6.0,2.4864573
4971,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00209.2000.nc,2013-01-10T22:00:00,False,2013-01-10 22:00:00,5.0,2.2491663
4972,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00210.1000.nc,2013-01-11T09:00:00,False,2013-01-11 09:00:00,6.0,2.2229743
4973,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2012050100_2013043023/lpt_system_mask_AR.lptid00211.1000.nc,2013-01-12T02:00:00,False,2013-01-12 02:00:00,6.0,2.5086246
